"Document","Target_Word","Preceding_Word","Following_Word"
"546","public","philosophers,","natur"
"550","share","chanc","learn"
"552","public","student","websit"
"556","public","assignments,","access"
"561","public","communiti","large."
"561","share","culture,","inform"
"563","open","build","sourc"
"566","open","prototyp","source,"
"566","share","knowledg","indigen"
"568","public","broad","access"
"571","open","sophisticated,","sourc"
"572","share","philadelphia","rich"
"576","public","students,","direct"
"576","public","staff,","share"
"576","share","public","store"
"580","open","1)","keynot"
"590","public","collabor","school"
"593","open","english,","content"
"595","public","wide","access"
"596","public","fruit","six"
"596","public","flagship","princeton"
"600","public","avail","via"
"616","public","scholar","understand"
"616","public","find","conference;"
"617","public","creat","avail"
"622","public","prepar","critic"
"622","public","sequenti","ten-volum"
"622","public","approv","complet"
"627","public","edit","three"
"627","public","2012,","plan"
"629","public","series,","assur"
"630","public","century,","persona"
"630","public","american","imagination,"
"632","open","will","haddad"
"634","public","annot","1000"
"642","public","leader,","intellectual,"
"646","public","support","volum"
"654","public","washington","privat"
"655","public","known","polit"
"658","public","rigor","schedule."
"665","public","two","facilities,"
"666","public","expand","programming."
"666","share","can","museums,"
"671","public","showcas","major"
"671","public","access","audiences."
"672","open","purchas","protocol"
"672","public","rapid","museum"
"689","public","communication.)","public"
"689","public","public","present"
"689","public","general","mexico."
"697","public","cost","human"
"698","open","demonstr","local"
"698","public","cost","human"
"700","public","cost","human"
"701","public","cost","human"
"702","public","cost","human"
"729","public","extens","programs,"
"731","open","tunnel,","pit"
"731","public","development,","programming."
"733","public","new","dialogu"
"736","public","website,","educ"
"737","public","fifteen","screening--lectur"
"737","public","anchor","squar"
"737","public","deepen","understand"
"738","public","training,","programs."
"739","public","imag","establish"
"739","public","catalyst","discours"
"739","public","stimul","discuss"
"740","open","will","folger"
"740","public","anniversari","king"
"740","public","language,","larg"
"741","share","substanti","resourc"
"743","public","exhibitions,","programs,"
"745","open","will","public"
"745","public","open","new"
"747","open","will","brooklyn"
"747","public","invit","offer"
"748","open","will","januari"
"748","public","broaden","understand"
"750","public","view","fact"
"754","public","first","televis"
"755","public","increas","awar"
"756","public","1988,","radio"
"756","share","(1/3","total"
"757","public","shakespear","televis"
"758","open","also","communiti"
"758","public","six-part","program"
"758","public","nonprofit","venu"
"758","public","gear","univers"
"762","public","generat","work"
"763","public","digit","field"
"765","share","confer","lesson"
"767","public","onlin","access"
"768","public","widespread","particip"
"775","public","creation","teach"
"778","public","intrigu","career."
"794","share","particip","insight"
"831","public","scholar-l","human"
"834","public","expand","access"
"834","public","deepen","understand"
"834","public","statewid","summit"
"836","public","differ","program"
"839","public","universities,","human"
"840","public","plan","program"
"841","public","engag","reflect"
"843","public","exhibits,","lectures,"
"847","public","inform","concern"
"848","public","partners,","program"
"848","public","stories,","outreach"
"848","share","program","stori"
"849","public","greater","understand"
"849","share","experi","civic"
"850","public","support","human"
"853","public","1769","ramona"
"863","public","lakefront","place."
"863","public","focus","places."
"863","public","idea","place"
"863","public","urban","place"
"863","public","urban","places."
"865","public","schoolteachers,","historians,"
"865","public","left","memory,"
"865","public","privat","lives;"
"883","open","support","resourc"
"884","public","bibliographi","web-bas"
"885","open","(imslp),","librari"
"885","open","develop","sourc"
"885","public","scan","domain"
"886","open","system","journal"
"892","open","petrarch","book,"""
"892","open","use","sourc"
"893","open","world,","sourc"
"899","public","clearinghous","workshop-rel"
"899","share","idea","access"
"900","public","york","librari"
"903","public","engag","interest"
"904","share","places,","human"
"904","share","audienc","content"
"908","public","share","polici"
"908","public","scholar","offici"
"908","public","student","polici"
"908","share","program","public"
"908","share","student","idea"
"919","share","influenc","latin"
"925","public","connect","educ"
"927","public","may","human"
"930","public","stori","programs,"
"934","public","rang","lectur"
"934","share","teachers,","experi"
"935","public","broad","education,"
"938","public",NA,"programs,"
"942","public","text","setting:"
"942","public","conversations;","convers"
"942","share","discuss","text"
"942","share","relat","american"
"943","public","limit)","human"
"944","public","6-12","programs,"
"948","public","re-grants,","event"
"948","public","general","theme"
"951","open","free","public."
"951","public","support:","lectur"
"953","public","uhc’","squar"
"953","public","statewid","radio"
"956","public","document","appreci"
"957","public","educ","public"
"957","public","public","food"
"957","public","project","discuss"
"968","public","societi","sphere"
"974","public","educ","illustrated,"
"977","public","activists,","figur"
"982","public","general","pacif"
"983","public","larger","sphere."
"984","public","improvis","speeches,"
"984","public","general","scholar"
"988","share","leader","name"
"995","share","land,""","social"
"1000","public","distinct","yet"
"1002","public","elabor","acceptance."
"1008","public","poetri","inherit"
"1024","public","threat","order"
"1026","public","result","non-crit"
"1031","public","key","launch"
"1031","public","wide","audience."
"1038","share","ostens","ancestry."
"1050","public","emerg","polit"
"1050","public","modern","sphere"
"1060","open","now","just"
"1060","public","serv","human"
"1061","public","educ","program"
"1061","public","advanc","understand"
"1065","public","organ","forum"
"1066","public","varieti","human"
"1066","public","program","libraries,"
"1067","public","ensur","access"
"1068","public","lectur","scholar"
"1071","share","will","tribal"
"1073","public","divers","audiences."
"1076","open","accompani","first"
"1076","public","educ","initiatives."
"1076","public","program","within"
"1080","public","studi","program"
"1085","public","improv","access"
"1089","open","shelv","grid,"
"1093","public","implement","exhibit"
"1094","public","counti","librari"
"1100","public","graphic","materi"
"1104","public","beach","librari"
"1104","public","well-us","research,"
"1128","public",NA,"librari"
"1132","public","moin","librari"
"1137","public","examin","museum"
"1145","public","histori","land"
"1145","public","centuri","architectur"
"1155","public","share","stori"
"1155","share","abl","public"
"1159","public","access","visit"
"1162","public","general","future."
"1164","open","workshop,","thirti"
"1184","public","part","educ"
"1187","public","prioriti","access"
"1207","public","holyok","library’"
"1213","public","inspir","founder"
"1214","public","aauw","reports;"
"1220","share","suppli","repositori"
"1222","open","collect","storage."
"1226","open","line","metal"
"1233","open","padded,","shelv"
"1233","open","store","shelv"
"1234","public","adam","librari"
"1234","public","adam","librari"
"1236","public","improv","accessibility."
"1250","open","allow","letter"
"1250","public","courts,","percept"
"1253","public","cost","human"
"1255","public","cost","human"
"1260","public","scholar","attent"
"1260","share","explor","cultur"
"1263","public","fund","forum"
"1263","public","activ","engagement."
"1263","public","product","discourse."
"1265","public","divis","educ"
"1265","public","moder","forum"
"1266","public","scholar","intellectu"
"1266","public","intellectu","human"
"1266","public","general","explor"
"1266","public","member","particip"
"1266","public","rang","human"
"1306","public","sponsor","lectur"
"1308","public","foster","dissemin"
"1308","share","core","bodi"
"1310","public","scholar","lectur"
"1310","share","curriculum","others."
"1317","public","general","provid"
"1335","public","uncommon,","domain"
"1340","public","small","collect"
"1341","public","broad","access"
"1344","public","broad","access"
"1345","public","educ","program"
"1346","public","general","via"
"1349","public","manuscript","john"
"1350","public","provid","access"
"1350","public","roots,","interest"
"1352","public","general","mani"
"1358","public","1923","domain."
"1359","open","ad","access"
"1359","open","museum","freeli"
"1359","public","valu","interest"
"1359","public","freeli","365"
"1360","open","use","sourc"
"1361","public","digit","american"
"1362","public","york","librari"
"1362","public","avail","via"
"1367","public","air","televis"
"1369","share","china","future."
"1371","public","support","human"
"1372","public","support","human"
"1373","public","support","human"
"1374","public","support","human"
"1375","public","support","human"
"1376","public","support","human"
"1377","public","support","human"
"1378","public","support","human"
"1379","public","support","human"
"1380","public","support","human"
"1381","public","support","human"
"1382","public","support","human"
"1383","public","support","human"
"1384","public","support","human"
"1385","public","support","human"
"1386","public","support","human"
"1387","public","support","human"
"1388","public","support","human"
"1389","public","support","human"
"1390","public","support","human"
"1391","public","support","human"
"1392","public","support","human"
"1393","public","support","human"
"1395","public","mid-contin","librari"
"1396","public","support","human"
"1397","public","support","human"
"1398","public","support","human"
"1399","public","support","human"
"1400","public","support","human"
"1404","public","scholar","thus"
"1405","public","/","project"
"1407","public","procedur","program,"
"1412","public","exhibit","confer"
"1415","public","general","live"
"1416","public","broad","audienc"
"1417","public","seri","program"
"1417","public","encourag","recogn"
"1418","open","will","may"
"1419","public","accompani","""henri"
"1420","public","general","ongo"
"1422","public","general","reveal"
"1423","open","art","american"
"1424","public","includ","television,"
"1425","public","collect","art."
"1425","public","experi","art"
"1426","public","time","interest"
"1427","public","documentari","televis"
"1428","public","nation","televis"
"1429","open","disenfranchised;","oppos"
"1429","public","exhibits,","programs,"
"1434","public","american","media"
"1434","public","(sof)","radio’"
"1435","public","nation","televis"
"1438","public","cost","human"
"1439","public","cover","engin"
"1439","public","general","access"
"1449","public","century,","charl"
"1452","public","sleep.","film"
"1456","share","broad","framework"
"1459","public","cost","human"
"1460","public","cost","human"
"1461","public","cost","human"
"1462","public","cost","human"
"1463","public","cost","human"
"1464","public","cost","human"
"1465","public","cost","human"
"1467","public","cost","human"
"1469","public","cost","human"
"1475","share","rome","similar"
"1482","public","forthcom","heidegger’"
"1485","public","role","intellectual,"
"1486","share","officials,","common"
"1488","public","forums,","perform"
"1497","public","focus","festiv"
"1497","public","write","festiv"
"1499","public","state","librari"
"1500","share","issu","space"
"1503","public","chose","narrat"
"1503","share","mckay","secret"
"1505","public","new","face"
"1509","public","accur","histori"
"1509","public","audience.","histori"
"1510","public","analysi","peer"
"1529","public","press","2013."
"1532","public","within","health"
"1541","public","epoch","illumination,"
"1543","public","submit","end"
"1546","open","thaw-era","west,"
"1553","public","broadcasts,","monuments."
"1553","public","shape","percept"
"1553","public","domin","debat"
"1556","public","full","complet"
"1558","public","parks,","build"
"1561","share","option","data"
"1562","public","import","pulpit"
"1562","public","larg","gatherings."
"1566","public","will","make"
"1567","public","already-fund","human"
"1568","open","collect","access"
"1570","public","forum","comment."
"1573","open","link","data"
"1573","open","link","data."
"1573","open","link","data"
"1573","open","link","data"
"1573","open","link","data"
"1573","share","potenti","access"
"1577","open","applic","gis"
"1578","open","history,","new"
"1578","public","york","librari"
"1580","public","role","health"
"1581","open","first","sourc"
"1584","share","will","nation"
"1588","share","will","learn"
"1593","public","300","privat"
"1594","open","matter","researchers."
"1595","public","edit","book"
"1598","public","committe","american"
"1601","public","records,","writings,"
"1605","public","follow","chronolog"
"1605","public","submit","print"
"1607","public","expand","new"
"1611","public","edit","complet"
"1611","public","teachers,","comment"
"1613","public","write","appear"
"1613","public","histor","record"
"1613","public","support","third,"
"1614","public","process","major"
"1615","public","(gwu)","22"
"1616","public","month","(2014);"
"1617","open","born-digital,","sourc"
"1618","public","campaign","american"
"1620","public","accept","univers"
"1621","public","general","area"
"1630","open","will","materi"
"1632","public","ripe","dissemin"
"1632","public","focus","exhibitions,"
"1637","public","scholar","famili"
"1646","public","concern","privat"
"1647","public","prepar","comprehens"
"1652","public","creation","access"
"1657","public","cost","human"
"1660","public","cost","human"
"1663","public","cost","human"
"1666","open","build","peac"
"1666","share","landscap","memori"
"1668","public","need","understand"
"1670","open","text","window"
"1670","public","world’","privat"
"1676","public","distribut","radio"
"1677","public","one-hour","radio"
"1677","public","york","radio"
"1678","public","major","televis"
"1680","open","2013.","june"
"1680","public","major","educ"
"1681","public","nation","program"
"1682","public","materi","program"
"1683","public","enabl","take"
"1683","public","deepen","understand"
"1685","share","support","stories,"
"1686","public","seri","event"
"1688","public","member","also"
"1689","public","boston","library,"
"1692","open","also","museums,"
"1692","public","six-part","program"
"1692","public","audienc","libraries;"
"1694","public","activities,","programs,"
"1695","public","avail","chronicl"
"1701","public","event","larg"
"1701","public","place.","event"
"1703","public","advanc","awar"
"1705","open","2013","call"
"1705","public","general","contribut"
"1707","public","innov","cours"
"1707","public","tool","models,"
"1707","public","seminar","repres"
"1708","public","onlin","ancient"
"1714","public","research,","projects."
"1715","public","member","gather,"
"1715","public","design","educ"
"1718","open","sustain","access"
"1718","open","avail","access"
"1718","public","collabor","report"
"1718","public","addit","report"
"1718","share","report","result"
"1719","open","multi-platform,","sourc"
"1720","public","milwauke","museum"
"1722","share","b.","knowledg"
"1725","open","initi","sourc"
"1725","share","producing,","discuss"
"1728","open","web-bas","sourc"
"1728","public","univers","human"
"1728","public","academics,","large."
"1728","public","avail","large."
"1728","share","galleri","crop"
"1729","open","authoritative,","access"
"1729","open","model","access"
"1729","share","evid","notion"
"1730","public","york","librari"
"1732","public","flexibl","scholar"
"1735","public","center","histori"
"1735","public","broad","audienc"
"1736","open","will","source,"
"1737","public","pre-print","two"
"1738","public","result","access"
"1739","open","will","potenti"
"1740","open","link","data"
"1740","public","make","avail"
"1741","public","print--demand","text"
"1741","public","web-bas","produce,"
"1742","public","engag","digit"
"1743","public","avail","("
"1743","public","classroom","audienc"
"1744","public","lincoln","life:"
"1749","open","program","tour"
"1757","open","program","consider"
"1759","public","free","library,"
"1773","public","import","year"
"1774","public","wide","year-long"
"1775","public","research","service."
"1786","public","religion","privat"
"1793","public","york","library’"
"1798","public","scholar","repres"
"1807","public","give","audienc"
"1809","public","give","audienc"
"1810","public","give","audienc"
"1811","public","give","audienc"
"1812","public","give","audienc"
"1813","public","give","audienc"
"1814","public","paul","library/highland"
"1816","public","give","audienc"
"1817","public","give","audienc"
"1818","public","give","audienc"
"1819","public","give","audienc"
"1820","public","give","audienc"
"1821","public","give","audienc"
"1822","public","stillwat","librari"
"1823","open","host","reception,"
"1823","public","lectur","event"
"1824","public","give","audienc"
"1825","public","give","audienc"
"1826","public","give","audienc"
"1827","public","give","audienc"
"1828","public","give","audienc"
"1829","public","give","audienc"
"1830","public","give","audienc"
"1831","public","give","audienc"
"1832","public","give","audienc"
"1833","public","give","audienc"
"1836","public","give","audienc"
"1837","public","give","audienc"
"1838","public","give","audienc"
"1839","public","give","audienc"
"1840","public","give","audienc"
"1841","public","give","audienc"
"1842","public","give","audienc"
"1843","public","give","audienc"
"1844","public","give","audienc"
"1845","public","give","audienc"
"1852","public","rise","higher"
"1852","public","america","institut"
"1860","public","inventori","present"
"1878","public","northeast","radio"
"1879","public","general","visitor"
"1889","public","communic","exhibits,"
"1892","public","toward","creat"
"1901","public","exhibit","educ"
"1903","public","access","audiences."
"1904","public","general","preserv"
"1907","public","province,","svd,"
"1921","public","sentiment","contexts."
"1921","public","perform","sphere"
"1921","public","world","perform"
"1921","public","later,","politics."
"1925","public","examin","sphere"
"1925","public","participatori","sphere,"
"1925","public","seri","debat"
"1925","public","communication,","sphere."
"1930","public","collage-like,","bombard"
"1933","public","neapolitan","life"
"1933","public","facet","life"
"1942","open","promis","public"
"1942","public","1950s","manag"
"1942","public","development,","budgeting,"
"1942","public","open","discuss"
"1948","public","manag","memory."
"1951","public","corpus,","offer"
"1952","public","confront","broadcast"
"1953","public","regul","privat"
"1959","public","prepar","volum"
"1961","public","greater","concern"
"1967","open","audience,","skeleton"
"1969","public","accur","manuscript,"
"1970","public","privat","actor"
"1978","share","lion","project."
"1982","public","century.","geograph"
"1994","public","absenc","school"
"1997","public","partnership","support"
"1999","public","wider","concern."
"1999","public","collabor","projects."
"2004","public","scholars,","also"
"2006","open","will","new"
"2006","public","engag","signific"
"2008","public","center","humanities."
"2008","public","-","symposia"
"2008","public","annual","lectur"
"2008","public","free","lectur"
"2008","public","addit","human"
"2008","public","comprehens","human"
"2011","public","approach","phase"
"2012","public","respons","school"
"2013","public","oral","histori"
"2013","public","oral","histori"
"2013","public","oral","histori"
"2015","public","present","lectur"
"2016","public","cost","human"
"2017","public","support","program"
"2019","public","cost","human"
"2020","public","ancillari","human"
"2021","public","cost","human"
"2023","open","implement","sourc"
"2023","open","develop","code"
"2023","open","implement","sourc"
"2023","public","need","media"
"2023","public","will","shared,"
"2023","public","partner","media"
"2023","public","(scetv)","radio"
"2034","public","shape","opinion"
"2040","public","research,","program"
"2042","open","often","larger"
"2047","public","creat","program"
"2048","public","workshops,","lectures,"
"2048","public","four","lectur"
"2051","open","program","four-day"
"2051","open","confer","faculti"
"2054","public","offer","lectur"
"2054","public","record","lectures."
"2055","open","professor","disciplin"
"2055","public","-risk","high"
"2056","public","free","conference."
"2057","public","seri","lectur"
"2057","public","histori","health,"
"2057","public","offerings.","lectur"
"2059","open","will","new"
"2061","public","avail","folger"
"2064","public","avail","233"
"2065","public","avail","via"
"2065","public","wide","via"
"2072","open","journal","critic"
"2072","public","1923,","domain"
"2073","public","make","access"
"2078","public","unavail","research."
"2087","public","interest","creation"
"2089","public","access","cost."
"2093","public","general","1/2012"
"2094","public","divis","educ"
"2094","public","thirteen","program"
"2094","public","includ","program"
"2095","public","seri","programs;"
"2095","public","relationship","librari"
"2100","public","largest","collect"
"2100","public","present","predomin"
"2100","public","audience,","art."
"2102","public","broad","appeal"
"2102","public","first","reaction"
"2104","open","schedul","st."
"2105","public","(1951-64)","school"
"2105","public","(1959-1963)","school"
"2106","public","encourag","explor"
"2108","open","will","charl"
"2108","public","educ","program"
"2112","open","support","perman"
"2112","open","will","septemb"
"2114","public","general","interact"
"2116","public","view","fact"
"2118","public","corpor","broadcast"
"2122","public","history,","result"
"2125","public","respons","fellowship"
"2125","public","academ","gather"
"2126","public","york","librari"
"2128","public","field,","programs,"
"2129","open","project","confer"
"2131","open","activ","ten-day"
"2131","open","develop","symposium."
"2131","public","give","lectures."
"2132","share","forum","co-creat"
"2136","public","whether","polici"
"2138","open","course,","concordia"
"2139","open","cours","student"
"2140","open","director","notion"
"2142","open","cours","exercis"
"2142","public","develop","websit"
"2144","open","lectur","univers"
"2144","public","polit","policy."""
"2148","open","cours","undergradu"
"2148","public","ubiquit","discours"
"2150","open","education?","student"
"2156","public","six","librari"
"2156","public","librarian","discuss"
"2157","public","cost","human"
"2159","public","cost","human"
"2161","public","cost","human"
"2162","open","confer","access"
"2164","public","cost","human"
"2166","public","cost","human"
"2168","open","literacies,","sourc"
"2169","open","new","sourc"
"2169","public","enabl","oral"
"2169","public","access","web"
"2171","open","item","access"
"2172","open","consortium","access"
"2174","open","vet","sourc"
"2176","open","free","sourc"
"2180","public","releas","domain"
"2181","public","fully-functional,","avail"
"2181","public","produc","explain"
"2182","public","relationship","initi"
"2186","open","link","data"
"2186","public","york","librari"
"2196","public","give","perform"
"2203","public","simultan","intens"
"2203","public","scholar","debat"
"2205","share","respons","anxieti"
"2209","share","medium","respons"
"2212","public","manuscript","univers"
"2220","share","kind","language."
"2223","public","suitabl","academ"
"2238","public","subject","fascination,"
"2240","open","circumst","opportun"
"2245","open","tandem","rang"
"2247","public","vagranc","disord"
"2249","public","better","understand"
"2254","public","brought","sphere"
"2258","public","boundari","privat"
"2264","public","film","dvd"
"2267","public","previous","khayo"
"2276","public","request","northern"
"2279","share","grow,","nativ"
"2280","share","develop","expertis"
"2282","public","built","fund"
"2288","open","use","tower"
"2301","share","initiative,","narrat"
"2304","public","support","fourteen-volum"
"2311","public","edit","three"
"2311","public","2014,","plan"
"2312","open","will","new"
"2314","public","maintain","schedul"
"2316","public","digit","will"
"2319","public","assur","volum"
"2320","share","affiliates,","resourc"
"2321","public",".","extant"
"2321","public","scholar","will"
"2321","public",",","imag"
"2322","public","result","cambridg"
"2325","open","onlin","access"
"2325","open","online,","access,"
"2325","public","lead","two"
"2325","public","time","relev"
"2327","open","via","access"
"2327","share","curat","multimedia"
"2330","public","data","dissemin"
"2341","public","texa","school"
"2343","public","k-12","school"
"2347","public","cost","human"
"2348","public","cost","human"
"2349","public","cost","human"
"2350","public","cost","human"
"2351","public","cost","human"
"2352","public","cost","human"
"2353","public","explor","transport"
"2354","public","cost","human"
"2355","public","cost","human"
"2357","public","cost","human"
"2358","public","cost","human"
"2359","public","support","huamniti"
"2361","open","will","pma"
"2361","open","lacma,","june"
"2361","open","mfah,","septemb"
"2364","open","will","nelson-atkin"
"2366","public","councils,","libraries,"
"2366","public","libraries,","schools-"
"2367","public","expand","understand"
"2367","public","educ","program"
"2368","public","collection,","program"
"2372","public","host","programs,"
"2373","open","museum","new"
"2376","public","1988,","radio"
"2378","public","life","radio."
"2379","public","york","radio,"
"2381","share","base","experi"
"2384","public","academ","librari"
"2389","public","group","use."
"2389","public","implement","avail"
"2389","public","produc","access"
"2393","open","link","data,"
"2393","share","""data","publication"""
"2395","public","washington","privat"
"2399","public","scholar","discours"
"2401","share","celebr","heritage."
"2405","public","nation","life."
"2409","share","ship,","progress"
"2416","open","respons","papers,"
"2416","share","particip","research"
"2418","public","rise","domesticity;"
"2424","share","day","insight"
"2436","public","scholarship","discourse."
"2471","public","six-week","program"
"2472","public","six-week","program"
"2473","public","six-week","program"
"2474","public","six-week","program"
"2475","public","six-week","program"
"2476","public","six-week","program"
"2477","public","six-week","program"
"2478","public","six-week","program"
"2479","public","six-week","program"
"2480","public","six-week","program"
"2482","public","6-week","program"
"2483","public","six-week","program"
"2484","public","six-week","program"
"2485","public","six-week","program"
"2487","public","norristown","library,"
"2487","public","wissahickon","library,"
"2487","public","region","library,"
"2488","public","six-week","program"
"2489","public","six-week","program"
"2490","public","six-week","program"
"2491","public","six-week","program"
"2492","public","six-week","program"
"2493","public","six-week","program"
"2494","public","six-week","program"
"2495","public","six-week","program"
"2496","public","six-week","program"
"2497","public","six-week","program"
"2498","public","six-week","program"
"2499","public","six-week","program"
"2500","public","six-week","program"
"2501","public","six-week","program"
"2502","public","six-week","program"
"2503","public","six-week","program"
"2504","public","six-week","program"
"2505","public","six-week","program"
"2507","public","seri","program"
"2508","public","six-week","program"
"2509","public","six-week","program"
"2510","public","six-week","program"
"2511","public","six-week","program"
"2512","public","six-week","program"
"2513","public","six-week","program"
"2514","public","six-week","program"
"2515","public","six-week","program"
"2516","public","six-week","program"
"2518","public","six-week","program"
"2519","public","six-week","program"
"2521","open","principl","sourc"
"2521","open","build","sourc"
"2527","public","divers","audienc"
"2528","public","nation","program"
"2528","public","student","vandenberg"
"2536","public","dissemin","univers"
"2538","share","times,","cultur"
"2541","public","cost","human"
"2543","public","cost","human"
"2545","open","(cclir)","2004"
"2545","public","larg","access"
"2547","public","improv","access"
"2548","public","year","higher"
"2552","public","maintain","access"
"2553","public","ensur","access"
"2555","share","potenti","stori"
"2565","public","general","great"
"2566","public","scholars,","historic,"
"2568","open","will","monitor"
"2570","open","repositori","public"
"2570","public","open","use"
"2571","share","will","librari"
"2575","public","subjects,","date"
"2578","public","avail","develop"
"2579","public","provid","access"
"2579","public","maintain","trust"
"2580","share","will","new"
"2582","public","munci","librari"
"2593","public","angel","librari"
"2595","public","general","independ"
"2597","open","free","public."
"2600","public","behalf","trust."
"2601","public","counti","library."
"2609","public","photograph","cover"
"2612","public","work",""""
"2615","public","cost","human"
"2616","public","cost","human"
"2618","public","program","run"
"2620","public","cost","human"
"2621","public","cost","human"
"2623","public","cost","human"
"2624","public","cost","human"
"2625","public","cost","human"
"2637","public","voyag","corpor"
"2639","public","profit","finance,"
"2643","public","wrestl","moral"
"2650","public","compos","identifi"
"2650","public","trace","discours"
"2652","open","nation","door"
"2654","public","theater-go","region"
"2673","open","library,","access,"
"2673","public","2014","fall"
"2674","public","transform","understand"
"2681","public","secular","educ"
"2694","public","bring","light"
"2695","public","theori","sphere"
"2695","public","elizabethan","sphere,"
"2695","public","control","sphere."
"2695","public","varieti","discours"
"2709","public","education,","outreach."
"2709","public","training,","engag"
"2709","public","qualiti","discours"
"2709","public","serv","research"
"2710","public","spokan","radio"
"2717","open","free","public"
"2717","public","open","receiv"
"2721","share","cost","42.5%"
"2722","open","develop","sourc"
"2722","open","suit","sourc"
"2747","public","need","understand"
"2758","public","increas","access"
"2759","share","develop","model"
"2762","public","archives,","libraries,"
"2763","public","seri","commemor"
"2763","public","mark","signific"
"2764","public","workshop","lectur"
"2764","public","studies.","lectur"
"2764","share","use","read"
"2767","public","made","teach"
"2768","share","understand","socio-polit"
"2770","public","web-bas","access"
"2770","public","advertis","access."
"2775","public","digit","access,"
"2786","public","boston","librari"
"2787","public","inform","inform"
"2788","share","digit","museum"
"2788","share","digit","near"
"2789","public","general","research."
"2790","public","scholar","perpetuity."
"2792","public","optimum","engagement,"
"2793","public","scholar","access"
"2794","public","free","access"
"2794","public","records,","document"
"2794","public","orlean","library,"
"2795","public","bridgeport","librari"
"2796","public","made","avail"
"2799","public","select","relev"
"2799","public","avail","worldwid"
"2799","public","education,","program"
"2802","public",NA,"volum"
"2805","public","will","project"
"2807","public","vehicl","origin"
