"Term","Frequency"
"guides.",3
"histori",3190
"life",643
"nativ",505
"old",159
"oral",314
"parent",14
"person",335
"perspectives;",5
"present",896
"showcas",53
"success",235
"teach",461
"techniqu",112
"thirti",48
"tribal",115
"util",142
"voices:",3
"year",784
"young",109
"youth",91
"$400,000",32
"(currently,",1
"(february-may",1
"(june",8
"11-septemb",1
"19,",7
"2010)",3
"2011).",2
"9,000",6
"art,",227
"arts;",3
"asian",175
"bali.",1
"bali:",1
"borrow",11
"category.",3
"clips,",4
"collect",3916
"complementari",35
"components--150",1
"consid",400
"courtyard",2
"dalla",15
"demonstrations,",6
"design,",55
"devot",107
"enclos",4
"ephemer",14
"ever",75
"exhibition.)",1
"extraordinari",72
"francisco",49
"histor",2480
"large-scal",50
"least",91
"live",571
"near",201
"netherlands;",1
"object",515
"organ",519
"performance.",20
"performances.",3
"privat",146
"respect",153
"ritual,",15
"san",154
"seri",433
"sever",281
"square-foot",9
"two",1225
"u.s.",412
"venues:",6
"video",188
"advanc",358
"backdrop",22
"born",32
"broadcast",107
"calamit",1
"canal",27
"canal,",6
"commit",120
"construct",276
"dealt",6
"decade-long",4
"divers",517
"earth.",4
"effort",356
"effort,",6
"engin",80
"environ",290
"expansionist",2
"experience,",50
"failed.",5
"force,",8
"french",239
"haunt",19
"health,",24
"hostil",12
"immens",11
"made",398
"manag",275
"one",1136
"panama",10
"pbs.",7
"place",668
"planet",5
"possibl",206
"power,",42
"preced",18
"primarili",109
"recruit",34
"remark",86
"risk",111
"roosevelt",30
"root",119
"show",347
"special",465
"structur",222
"succeed",12
"technolog",417
"theodor",14
"trace",197
"trans-isthmian",1
"two-hour",29
"vision",132
"worker",53
"""ordinary""",5
"$70,000",2
"(boston",2
"(hebrew",2
"(univ",1
"abraham",57
"advis",45
"arthur",21
"bernard",20
"bible,",46
"bring",556
"chicago),",5
"christian",186
"college)...",1
"connect",466
"consciousness.",14
"delv",25
"dialogu",177
"encount",106
"express",201
"faith,",7
"film",824
"green",24
"hour",75
"influences.",5
"insight",202
"intellectu",400
"islam.",13
"jame",200
"judaism,",6
"mcginn",1
"men",108
"monotheism,",1
"morri",14
"music",839
"mystic",21
"mysticism;",1
"natur",557
"origin",516
"pbs",59
"poetri",166
"practic",586
"practitioners,",12
"project",4711
"quran,",1
"religion;",1
"rich",340
"scholars.",88
"script",44
"scriptur",11
"substrat",3
"theolog",64
"time",592
"today.",134
"topic",294
"torah,",1
"traditions;",5
"understand",1241
"unfold",19
"univ),",1
"viewer",29
"women",552
"academ",277
"access",1135
"acclaim.",2
"achiev",155
"aim",401
"annot",168
"available,",11
"benefit",125
"center,",107
"congress",59
"directorship",1
"earn",18
"eleven",17
"full-text",11
"general",543
"import",930
"institutions,",79
"knox",6
"librari",1355
"lincoln",122
"lincoln-rel",1
"materials,",160
"numer",72
"operation.",3
"paper",353
"partnership",215
"primari",499
"public.",147
"recognit",47
"retir",4
"site",603
"sourc",541
"studi",2141
"transcrib",52
"undergradu",129
"version",127
"web",201
"$1,000,000",11
"$3,000,000",3
"60,000",8
"along",173
"archiv",1857
"come",164
"conflict,",23
"critic",728
"debate,",5
"document",1036
"enjoy",37
"equal",86
"evolut",118
"foster",144
"freedoms,",1
"gilder",7
"government,",24
"grant,",84
"history.",431
"individu",432
"k-12",128
"lehrman",7
"match,",3
"materi",1350
"nationwid",23
"neither",20
"nonfeder",2
"opportunity.",7
"period",628
"powers,",4
"pre-ordain",1
"principl",58
"principles,",5
"program.",115
"repres",438
"schools,",32
"separ",75
"span",114
"uncontested,",1
"unpreced",70
"upheaval.",8
"use",2020
"(mfa)",4
"2010,",23
"arts,",118
"artwork",71
"central",488
"collection.",302
"collection;",25
"deepen",113
"discoveri",110
"draw",327
"fall",120
"fine",106
"illumin",219
"key",365
"materials;",16
"mfa",8
"multi-facet",15
"onlin",484
"perspect",319
"phase,",12
"story.",20
"theme",372
"virtual",121
"visitor",208
"visitors.",14
"wing",17
"$2,822,684",1
"$300,000",19
"$667,580",1
"$900,000",3
"$900,000.",1
"10,113",1
"2007,",17
"2010.",24
"6,169",1
"accessible,",30
"areas.",56
"base",468
"collections,",254
"comput",143
"counti",267
"decemb",42
"dedic",136
"direct",222
"displays,",8
"efficient,",8
"energi",98
"feet",84
"foot",27
"home",271
"hous",596
"humanities.",211
"lake",59
"lifelong",31
"local",610
"locally,",4
"main",199
"match",76
"octob",42
"oregon.",7
"oriented,",1
"part",551
"propos",1370
"rais",138
"rooms,",9
"sinc",337
"squar",66
"toward",225
"volunt",80
"""hybrid""",1
"$60,000",8
"abl",120
"advantag",24
"almost",63
"annual",118
"architectur",239
"coloni",388
"digit",2258
"establish",382
"funds,",17
"humanities,",169
"incom",22
"jewish",250
"latin",254
"literature.",68
"odsp",1
"offic",89
"oper",148
"penn",31
"perman",247
"press",154
"print/onlin",1
"publications.",18
"publish",613
"publishing,",13
"state,",72
"take",362
"togeth",364
"whose",187
"1835",2
"250,000",5
"3,600",1
"300",30
"5/6",1
"abut",3
"add",102
"assist",418
"associ",292
"audiences.",64
"complex",368
"courtyard)",1
"doubt",9
"endeavor",29
"endowment,",9
"event",395
"exceptional.",1
"exist",434
"expand,",6
"experi",834
"figure,",8
"further",10
"futur",332
"goals.",18
"great",331
"icon",84
"lathrop",1
"memori",247
"opportunities.",11
"organization,",28
"paul",43
"preserv",2354
"properti",69
"property.",4
"renew,",2
"renov",106
"rever",15
"revere,",1
"structure,",15
"truli",21
"uniqu",575
"$1.5",13
"$500,000",50
"-site",98
"26th",2
"acquisit",37
"aid",111
"also",1472
"analyz",360
"around",335
"artifact",334
"chair",14
"children,",21
"collections.",341
"dickinson",31
"hold",247
"legaci",215
"non-feder",10
"old,",10
"presid",63
"raise.",1
"rancher",1
"web-bas",70
"world.",281
"writers,",51
"(net),",1
"-air",9
"3:1",9
"audienc",372
"basis,",4
"behalf",21
"campaign.",20
"carri",94
"contributor",15
"endowment-fund",1
"heritag",460
"inc.",43
"input,",1
"inspir",136
"involv",241
"nebraska",26
"net",4
"online.",36
"productions,",9
"project--project",1
"projects,",46
"projects.",75
"recogn",138
"repurpos",8
"restrict",24
"result",446
"telecommun",4
"television,",24
"$170,000",2
"$360,024",1
"$543,500",1
"$953,524;",1
"($120,000",1
"10,000",26
"accommod",35
"acquisitions,",3
"archives,",120
"attain",15
"cape",14
"cod",3
"college.",42
"conservation,",26
"contain",245
"cost",258
"deeds,",7
"deteriorating.",2
"diaries.",2
"entirety.",5
"estim",67
"growth;",3
"hand",50
"hand/pledged.",1
"holdings,",11
"items,",39
"log",13
"maps,",75
"match).",1
"neh,",36
"nickerson",1
"online;",4
"outgrown",3
"outreach.",9
"preservation,",73
"prioriti",104
"qualifi",44
"rare",255
"record",740
"relev",213
"research/archiv",1
"ship",46
"space",371
"standard",200
"unabl",15
"updat",92
"110th",1
"2010",77
"2011.",41
"african",701
"amount",90
"appli",227
"assembl",60
"avenue,",2
"basi",99
"benefici",7
"building.",37
"citi",556
"city,",51
"econom",385
"facility,",17
"fifth",19
"funds.",16
"harlem",12
"harlem,",2
"home,",21
"host",384
"immedi",76
"impact",517
"increas",451
"maintain",165
"mile",15
"million,",8
"mount",59
"move",230
"outfit",7
"programs.",81
"schedul",66
"schedule,",4
"scope",106
"street",69
"three--on",2
"time,",159
"uninterrupt",2
"york",304
"award-win",50
"back-",2
"bay",47
"bay;",1
"biolog",33
"controls;",1
"correspond",86
"deliveri",28
"ecosystems.",1
"embark",16
"environment",641
"five-year",13
"future.",67
"galleri",143
"intens",120
"interpret,",7
"kachemak",3
"long",348
"pratt",6
"pratt:",1
"preparation;",1
"preserve,",42
"project.",154
"region,",51
"research,",207
"share",392
"southcentr",1
"storag",969
"(ascsa)",4
"116,000",1
"94,000",2
"antiqu",71
"ascsa",7
"aspect",179
"athen",16
"blegen",4
"byzantin",22
"capit",105
"classic",202
"completed,",16
"cover",188
"day.",98
"entir",137
"funding,",17
"gennadius",4
"greece,",11
"greek",137
"infrastructur",83
"language,",89
"libraries,",89
"libraries.",22
"library,",175
"literatur",393
"oversea",26
"plan",1383
"preemin",29
"prehistor",21
"stabil",68
"strateg",118
"studies,",259
"times.",16
"upon",294
"volum",404
"volumes,",32
"appreci",109
"coher",13
"disciplines.",31
"eckerd",1
"eckerd.",1
"innov",283
"next",136
"position.",9
"serv",487
"set",353
"step",142
"strengthen",116
"studies.",126
"$750,000",9
"2002.",3
"believ",59
"border",81
"can",685
"columbia",44
"ethic",149
"firm",32
"health",154
"highest",44
"historians,",114
"humanist",208
"idea",334
"incept",14
"launch",121
"mailman",1
"mission",172
"play",327
"pois",10
"professionals,",29
"question",513
"scholarship",435
"scientific,",17
"social,",169
"valid",15
"vital",120
"820,000",1
"cohes",34
"curat",156
"essex",6
"flickr),",1
"ideas.",23
"medium",25
"peabodi",15
"photographi",76
"public,",90
"scholars,",306
"shape",495
"students.",69
"sustain",399
"via",149
"wide",322
"works,",84
"$10",6
"$250,000",11
"(mcm)",1
"130,000",2
"1929",5
"26,000",2
"annually.",13
"capitol",3
"exhibitions,",47
"five-stori",1
"grow!",1
"heart",87
"madison",35
"offices,",9
"ready,",1
"square.",3
"$2.8",1
"$61",1
"$700,000",2
"2010;",2
"circulation,",7
"construction,",9
"doubl",30
"dramat",109
"equip",199
"facility.",19
"families,",35
"fixtures,",2
"full",166
"furniture,",28
"imag",455
"incorpor",210
"media",397
"now,",23
"outsid",135
"overal",79
"raised.",2
"remain",267
"seniors,",1
"size",41
"spaces,",30
"state---art",29
"underway",11
"$22.5",1
"activities.",54
"beyond.",19
"brandei",3
"campus,",21
"campus.",24
"gift",35
"invest",48
"life,",149
"multidisciplinari",39
"passion",18
"physic",245
"potenti",154
"receiv",177
"recent",378
"strengths,",1
"substanti",78
"unique,",15
"use,",23
"values,",23
"visibl",65
"$1.75",1
"$350,000",28
"approach",394
"candid",5
"carleton",4
"college,",102
"conduct",539
"contribut",551
"development.",59
"discipline.",4
"disciplines,",34
"envis",36
"fellows,",10
"grant.",42
"load,",2
"mentor",32
"ongo",183
"perspectives,",29
"postdoctor",36
"profession",427
"reduc",56
"skills,",15
"strategi",207
"additionally,",34
"budget",34
"campus",112
"classroom",116
"databas",205
"donnelli",1
"event,",23
"expenditur",5
"high-quality,",3
"integr",481
"jerom",3
"keeler",1
"keep",41
"mission,",13
"series.",31
"simultan",43
"sister",22
"small",203
"technology.",19
"$3.5",1
"$450,500",1
"$49,500",1
"-going,",2
"baltimor",21
"benefits,",1
"bma",6
"bridg",188
"care,",38
"characterist",29
"collection-bas",1
"director",175
"equipment:",1
"essenti",166
"fluoresc",8
"fring",3
"identifi",305
"interpretation.",24
"portabl",11
"position,",6
"presentation.",2
"purchas",500
"purpose,",5
"salary,",1
"spectrometer,",1
"tool",434
"travel,",14
"x-ray",4
"$2,250,000",4
"dubuqu",3
"facilities.",11
"ham",2
"high",385
"house,",56
"interpretation,",19
"jail",5
"lead",378
"mathia",1
"motiv",57
"museum.",67
"museums.",27
"museums:",4
"qualiti",123
"river",101
"societi",678
"staffing,",4
"(depend",1
"(ftas)",1
"actor",63
"agreement",27
"aris",20
"asia?",2
"assess",918
"associations.",1
"balanc",43
"deliv",55
"determin",139
"distinct",199
"domest",77
"economi",68
"elucid",28
"employ",135
"ever-grow",3
"execut",48
"final",227
"fragment",33
"free",229
"fta",1
"ftas",1
"fundament",125
"govern",211
"highlight",162
"incent",7
"independ",127
"japan",68
"japanes",145
"legislative,",1
"liberalization;",1
"lobbi",2
"market",83
"market?",1
"mfn",1
"multilater",1
"opening.",1
"pattern",72
"polici",197
"policy.",19
"pose",48
"power",354
"preferenti",1
"prospect",22
"questions:",21
"shift",156
"societ",25
"trade",109
"trading,",1
"umbrella",5
"variable),",1
"variables:",1
"""invisible""",1
"(now",10
"20s)",1
"adulthood.",2
"attent",163
"audience.",64
"background,",2
"book",1744
"buraku",2
"burakumin,",1
"discrimin",15
"employment,",5
"generally.",7
"ident",282
"identity,",82
"identity.",64
"implic",93
"inform",610
"interview",152
"issu",435
"longitudin",6
"manuscript.",29
"marriag",29
"minor",88
"minority,",4
"negoti",78
"paradox",24
"particular",329
"pay",41
"resum",5
"severe.",1
"stage",136
"stage,",8
"stigmat",5
"suggest",104
"surround",120
"wider",90
"youth,",8
"americas.",29
"except",53
"explain",131
"fifteen",23
"hypotheses:",1
"immigr",255
"larger",221
"latino",69
"mere",21
"past",306
"postwar",77
"process",400
"space.",58
"suburban",23
"suburbia;",1
"temporari",37
"test",119
"throughout",270
"transnat",97
"urban",331
"years;",7
"account",232
"catastrophes.",1
"city.",67
"context",389
"descript",313
"drama",34
"drama,",14
"england,",30
"english",403
"era,",56
"extent",40
"form,",15
"light",321
"like",211
"locat",242
"london",39
"london,",26
"mani",576
"milton",10
"modern-day",6
"municip",27
"plans,",23
"real-lif",8
"reconstruct",162
"remak",17
"respons",345
"satisfactori",3
"sens",114
"shakespear",158
"subject",225
"suffering,",4
"survey",285
"theori",226
"topography,",2
"tragedi",20
"tragedy.",2
"tragic",23
"transhistor",2
"understood",84
"upheav",21
"views,",6
"absenc",11
"aftermath",24
"america.",170
"argument",100
"army,",8
"attempt",85
"civil",743
"crime",28
"dismantl",9
"drill",4
"easili",48
"even",198
"former",119
"genocid",20
"government",15
"group",435
"groups.",29
"guatemalan",2
"hard",45
"ideologies,",9
"intern",479
"loyalti",9
"mayan",9
"militar",14
"militari",203
"mindset",3
"ongoing,",8
"paramilitari",2
"peac",56
"peasant",5
"pocket",4
"prevent",76
"prolong",11
"reconciliation.",3
"rectify,",1
"rehabilit",10
"reintegr",11
"result,",32
"signed.",1
"society.",134
"soldiers,",10
"stand",54
"veterans.",17
"violenc",83
"war",886
"war,",144
"19th",195
"abund",13
"accord",66
"black",492
"centuri",639
"classic--",1
"contest",78
"culture.",240
"debates,",9
"draft",97
"equality.",9
"especially,",5
"fight",31
"ideolog",83
"implicit,",1
"legitim",16
"liberti",34
"mean",376
"mediterranean.",11
"minerva:",1
"mobil",134
"produc",619
"producers.",3
"refer",169
"select",373
"stable:",1
"text",748
"twelve-month",9
"""make",4
"""vernacular",1
"""vernacular""",1
"(.e.",6
"(bedt),",1
"abandon",20
"assistance,",8
"authority,",16
"backdrop,",6
"becam",185
"bedt",1
"brooklyn",55
"builder",10
"bulkhead,",1
"capital,",8
"cities.",17
"collaps",23
"consensus",11
"coordin",61
"defin",186
"discard",3
"district",52
"eastern",172
"environment""),",1
"erod",3
"formal",91
"grand",47
"landscap",206
"leisur",13
"manhattan",13
"midtown",2
"occupied,",1
"piers,",1
"rail",4
"raw",17
"rebuilt",4
"recreat",32
"recreation""",1
"recreation.",1
"reshap",38
"skylin",1
"spaces.",34
"stori",835
"termin",10
"unexplor",18
"vacat",1
"various",213
"vision,",10
"waterfront",12
"waterfront.",1
"watersid",1
"without",135
"yard,",1
"(reform",1
"adjust",16
"africa,",60
"americas,",27
"array",79
"asia.",36
"buddhist",70
"calvinist",3
"came",91
"centuries.",96
"christianity.",9
"circl",14
"confront",81
"contact",53
"creed",4
"custom",44
"dutch",32
"framework",123
"hindu,",2
"islamic,",9
"methodolog",77
"necessit",8
"nineteenth",132
"non-christian",5
"non-european,",1
"practices,",69
"problems.",4
"protest",56
"protestant)",1
"rang",453
"reconsid",17
"reform",135
"religi",536
"seventeenth",37
"shamanist",1
"simpli",23
"situat",112
"system",437
"systemat",56
"varieti",283
"whether",84
"world",823
"away",31
"cathol",57
"catholic",11
"conscious",30
"consider",77
"creation",272
"culmin",81
"educational,",10
"encultur",1
"fastest-grow",1
"fierc",7
"largest",186
"mexican",138
"mexico",108
"mexico.",29
"monograph",120
"post-vatican",1
"progeni",1
"progress",108
"roman",148
"socialist",23
"socioeconomic,",1
"sociopolit",7
"style",85
"trend",44
"wit",37
"(close",1
"analysis),",1
"ask",133
"australia",4
"british",186
"canada.",9
"chile,",4
"citizen",115
"compos",85
"context,",49
"cosmopolitan",33
"differ",405
"emerg",471
"global",481
"important,",23
"india,",39
"interdisciplinari",363
"journal",94
"large.",14
"letter",138
"nineteenth-centuri",113
"poem",61
"purview--fram",1
"reading,",35
"reflect",311
"sail",5
"textual",130
"theory.",17
"ways.",47
"working-class",10
"writers.",15
"written",269
"(mose",1
"(nathan",1
"argu",298
"belong",54
"choic",40
"choos",14
"colonist",17
"commenc",10
"conflict.",27
"connecticut",35
"conting",23
"directions.",9
"dunbar)--",1
"dunbar,",2
"events,",56
"familiar",59
"hale",2
"hale)",1
"kind",102
"larg",368
"link",248
"men--on",1
"noth",8
"opposit",41
"politic",7
"predict",12
"propel",7
"relationships,",20
"revolut",115
"revolution?",2
"seem",67
"side",71
"similar",92
"sympathies.",1
"tie",61
"tori",1
"train",516
"trajectori",28
"war.",178
"whig",3
"affluent;",1
"angel",45
"approxim",220
"canteen,",1
"canteen-goers,",1
"compet",73
"contradictions,",2
"converg",27
"corner",10
"critiqu",58
"danc",87
"democraci",98
"entertain",36
"floor",46
"floor.",2
"gender,",77
"guild",7
"hear",40
"history-bas",1
"hollywood",36
"industri",267
"innoc",9
"interplay",44
"less",81
"listen",51
"los",73
"member",357
"mode",77
"motion",48
"multicultur",31
"narrat",411
"negotiations,",1
"nightclub",2
"personnel",28
"pictur",126
"populist",4
"potent",9
"powerful;",1
"race,",96
"seduct",4
"sixti",14
"struggl",242
"swing",7
"swing,",1
"swing-culture--national-memory.",1
"union",70
"war-tim",2
"white;",1
"wwii.",5
"yield",32
"""custom""",1
"""muslimness""",1
"(1)",143
"(2)",139
"(3)",100
"1860s;",2
"appear",76
"bengal.",1
"bengali",4
"broad",308
"century.",284
"concept",310
"condit",428
"dissemin",180
"domin",99
"economy,",22
"epistemolog",25
"exclus",67
"granted,",2
"historic",18
"identif",36
"impos",16
"political-econom",4
"problem",151
"rather",131
"rationality,",3
"regul",22
"science,",93
"self-consci",6
"self-understanding.",2
"social-scientif",5
"socio-histor",3
"start",116
"status",74
"studies:",4
"twentieth",202
"""lock",1
"(mostly)",1
"(reign",2
"246-222/1",1
"accomplish",73
"alexand",27
"alexandria,",3
"astut",4
"bce).",7
"berenik",1
"berenike""",1
"book-length",106
"callimachus",1
"catullus.",1
"ceramics,",13
"choices,",4
"coins,",3
"cult",14
"cyren",1
"daughter",12
"descend",41
"egypt",32
"euerget",1
"evid",149
"extant",48
"great.",3
"histories,",70
"ii,",30
"iii",19
"inscriptions,",4
"languag",718
"macedonian",1
"maga",1
"monarch",11
"mosiacs,",1
"olymp",2
"papyri,",3
"portrait",56
"ptolemi",2
"queen",14
"represent",152
"stone",21
"successor",11
"translat",409
"uniquely,",5
"victories,",1
"wife",9
"1840",4
"1880.",2
"aesthet",151
"affinity.",1
"agassiz,",1
"america,",118
"argentina.",5
"barca,",3
"brazil",27
"broader",226
"calderon",1
"cari",2
"context.",65
"discours",156
"eduarda",1
"elizabeth",43
"flesh",6
"franc",86
"insert",10
"mansilla",1
"mexico,",41
"multilay",2
"narratives,",37
"overlooked,",8
"political,",117
"reformul",5
"sphere.",13
"states,",135
"valu",238
"women,",85
"""new",12
"""uniqu",1
"affect",154
"africa",103
"analyt",67
"atlant",83
"behind",78
"commerc",10
"commod",9
"conceptu",94
"douglass",25
"economics""",1
"enslav",93
"hope",99
"lag",5
"long-run",2
"north).",1
"particular,",48
"pioneer",71
"pre-coloni",11
"reason",84
"role.",8
"slave",225
"socioeconom",11
"system.""",1
"transatlant",37
"western",307
"""rule",2
"1864-1914,",1
"adapt",125
"autocrat",1
"character",47
"christian,",10
"chronologically,",5
"compar",228
"fulli",123
"illustr",143
"imperi",132
"intersect",147
"issues.",32
"law.""",2
"modernity,",15
"murder",34
"notion",113
"orthodox",17
"pressur",22
"punish",55
"rapid",79
"russia,",12
"russian""",1
"scholarship,",88
"sensat",7
"shook",3
"view",363
"window",91
"yet",275
"""coolie""",1
"agit",5
"anachronist",6
"antislaveri",12
"asiat",1
"began",84
"chart",45
"chines",178
"citizenship",64
"coalesc",4
"configur",13
"defend",32
"democrat",105
"disenfranchis",6
"drew",30
"emancip",65
"emancipation,",16
"era",220
"freedom.",25
"grow",164
"idea,",6
"ideal",105
"labor",160
"law.",36
"legal",201
"legislators,",1
"measur",77
"metaphor",20
"migrants.",1
"outgrowth",5
"post-war",29
"pro-exclus",1
"proscriptions,",1
"race",168
"race-specif",1
"racial",212
"ratif",11
"specter",2
"worldview.",3
"-studi",3
"bibl",34
"captives,",2
"communic",119
"controversies,",3
"episodes,",7
"excel",35
"fuel",29
"history--",5
"mandat",17
"margins,",4
"men,",20
"much",187
"much,",2
"peace,",16
"pop",14
"proclamation,",25
"sanction",13
"sheer",8
"subject,",4
"subject.",12
"texts,",129
"twenty-f",39
"vast",80
"whole",40
"write",628
"(1477),",1
"(1588),",1
"16th-centuri",6
"arab",139
"armada",1
"better",251
"broadsid",22
"caxton",1
"collaborative,",8
"crucial",130
"distribution,",11
"english,",67
"foreign",101
"forg",54
"known,",10
"literature;",5
"media--",2
"nationhood",6
"nationhood,",1
"octolingu",1
"press,",49
"printer",11
"printers-transl",1
"printing,",4
"printing--develop",1
"production,",36
"reader",157
"reception--",1
"see",139
"share.",6
"synergist",2
"think",188
"transformation--",2
"translation,",36
"translators.",3
"wisdom",17
"1820s",3
"1960s.",20
"acknowledg",24
"asia,",38
"broke",12
"consum",57
"consumers.",5
"consumption.",10
"cultures.",53
"divid",67
"divis",55
"earliest",78
"empir",177
"end",229
"fail",36
"historian",265
"imagin",124
"indian",297
"markets,",7
"mass",80
"nations,",5
"non-western",17
"north",318
"parti",32
"sold",12
"south",331
"tea",16
"though",73
"victorian",48
"1900,",6
"1990",6
"catalyz",20
"cent",2
"cent.",3
"chapter",229
"declin",29
"even,",1
"everyday",101
"grew",28
"hand.",4
"intensifi",6
"intriguingly,",1
"keyboard",2
"life.",157
"literacy)",1
"literacy.",7
"littl",155
"nea",2
"other",104
"per",70
"period.",119
"precipit",5
"premis",11
"put",71
"rate",25
"report",227
"rise",189
"risen",1
"rivalri",7
"scale",52
"understood,",12
"wherea",24
"1880s",10
"1975.",3
"agent",53
"ann",41
"approv",16
"assimil",20
"canon",68
"canonization,",1
"caus",81
"certain",38
"church",97
"commodification,",2
"common",238
"contexts,",25
"design",660
"function",107
"immigration,",35
"lenses:",1
"marker",13
"multipl",180
"pending),",1
"popular",400
"promot",293
"quest",19
"saint",47
"saint,",2
"saints,",5
"seton",3
"sexuality.",2
"subsequ",85
"""reprogenetics,""",1
"accessible.",23
"cluster",17
"deepli",82
"defended,",2
"ethics:",3
"genet",10
"genetics,",2
"len",131
"original,",10
"overarch",14
"philosophy.",42
"puzzl",13
"reproduct",36
"reproduction,",6
"sometim",56
"synopt",4
"""ancient",3
"480-31",1
"b.c.""",1
"barbarian",1
"book.",30
"chiefli",7
"conclus",30
"destroy",15
"destruct",43
"facilit",232
"fact",66
"fellowship",342
"iconoclasm",3
"iconoclasm:",1
"introduction;",3
"levels.",10
"limit",140
"margin",59
"motivation,",2
"outcasts.",1
